Store,Price,Quantity
""
2096,13.0,1
864,13.0,1
433,13.0,1
192,13.0,1
4299,13.0,1
879,20.0,4
444,25.0,2
3570,25.0,1
1711,29.0,3
113,40.0,3
389,49.0,3
940,49.0,2
706,49.0,4
2284,49.0,4
1453,49.0,3
4358,49.0,3
2084,49.0,1
2642,49.0,1
769,49.0,6
1949,49.0,8
1230,49.0,4
2795,49.0,6
2484,49.0,7
5432,49.0,4
2978,49.0,3
4,49.0,6
5154,49.0,4
1571,49.0,4
1304,49.0,11
5883,49.0,6
546,49.0,8
3513,49.0,4
1810,49.0,7
359,49.0,2
932,49.0,2
472,49.0,6
3783,49.0,3
2231,49.0,6
1455,49.0,4
1686,49.0,5
4612,49.0,2
2491,49.0,2
59,49.0,7
1348,49.0,6
2804,49.0,3
5438,49.0,6
1811,49.0,2
2643,49.0,4
361,49.0,2
234,49.0,3
942,49.0,19
8,49.0,3
3572,49.0,3
1237,49.0,8
1654,49.0,10
5155,49.0,6
818,49.0,5
4368,49.0,3
4615,49.0,3
708,49.0,3
3786,49.0,4
1507,49.0,3
2803,49.0,4
2931,49.0,10
5435,49.0,4
1812,49.0,6
3386,49.0,3
2087,49.0,6
943,49.0,11
2457,49.0,3
2287,49.0,4
1458,49.0,3
1126,49.0,6
124,49.0,3
3580,49.0,5
475,49.0,6
5157,49.0,2
4370,49.0,8
4616,49.0,2
1952,49.0,23
5,49.0,3
822,49.0,8
1687,49.0,2
2806,49.0,1
3389,49.0,3
2647,49.0,4
1238,49.0,7
1457,49.0,3
2494,49.0,4
3784,49.0,4
1127,49.0,3
3581,49.0,1
1574,49.0,9
5160,49.0,4
1953,49.0,3
710,49.0,2
121,49.0,5
2279,49.0,9
4627,49.0,5
823,49.0,2
5443,49.0,7
7,49.0,3
890,49.0,5
3390,49.0,2
1129,49.0,4
1239,49.0,2
3583,49.0,4
2496,49.0,3
125,49.0,3
5156,49.0,8
3785,49.0,3
4372,49.0,3
1689,49.0,3
2986,49.0,7
2086,49.0,7
2644,49.0,4
4623,49.0,2
1578,49.0,3
1804,49.0,11
2808,49.0,5
2292,49.0,9
5444,49.0,2
1354,49.0,1
313,49.0,8
481,49.0,5
1236,49.0,9
2497,49.0,9
3,49.0,1
1800,49.0,5
595,49.0,6
3790,49.0,3
2807,49.0,11
4631,49.0,3
1954,49.0,5
2649,49.0,1
3588,49.0,2
3391,49.0,9
2093,49.0,4
945,49.0,8
1819,49.0,3
1125,49.0,6
5162,49.0,4
127,49.0,3
1577,49.0,3
827,49.0,4
1241,49.0,7
2502,49.0,5
2811,49.0,3
3791,49.0,3
594,49.0,4
1358,49.0,3
2294,49.0,6
10,49.0,4
4379,49.0,8
1692,49.0,3
1459,49.0,5
2988,49.0,3
356,49.0,3
485,49.0,4
5448,49.0,4
777,49.0,5
1133,49.0,2
5146,49.0,5
4381,49.0,2
1580,49.0,2
1752,49.0,17
947,49.0,6
2094,49.0,3
716,49.0,4
3792,49.0,14
2,49.0,3
126,49.0,3
1128,49.0,2
1696,49.0,4
4635,49.0,1
1320,49.0,4
2504,49.0,2
2991,49.0,5
243,49.0,7
601,49.0,11
4340,49.0,3
2654,49.0,3
828,49.0,5
888,49.0,3
