rating,ratingUrl,upc,thumbnailUrl,zone,currencyUnit,section,0,score,WWWItemId,uOM,productId,status,reviewCount,priceInCents,pPU,atime,isWWWItem,name,largeUrl,aisle,storeDeptId,isRealTime,pPUM,walmartCanonicalUrl,quantity
2.7142999172210693,https://i2.walmartimages.com/i/CustRating/2_7.gif,2620011730,https://i5.walmartimages.com/asr/865e58cc-0f3d-488c-b806-7e249a52078e_1.07fc55cde302ad15da65c087505e3670.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,Z,USD,6,Z.7,0.8644798,38101938,ea,43DEM3BNCHWM,In Stock,14,108,1.11,2017-10-18 17:58:08.093263,True,Food,https://i5.walmartimages.com/asr/865e58cc-0f3d-488c-b806-7e249a52078e_1.07fc55cde302ad15da65c087505e3670.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,7,-1,True,dollars,/ip/Slim-Jim-Giant-Smoked-Snack-Sticks-Tabasco-97-Oz/38101938,17
4.836400032043457,https://i2.walmartimages.com/i/CustRating/4_8.gif,5400075130,https://i5.walmartimages.com/asr/d8e8f6c7-db8f-4154-8b14-44f8bd00c98e_1.5680d4b3cc7da33a757670cf20db3a42.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,I,USD,9,I.27,0.8446722,16352289,ea,5WMCCVZE8928,In Stock,55,218,4.0,2017-10-18 17:58:08.093636,True,Household Essentials,https://i5.walmartimages.com/asr/d8e8f6c7-db8f-4154-8b14-44f8bd00c98e_1.5680d4b3cc7da33a757670cf20db3a42.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,27,-1,True,cents,/ip/Scott-Original-Blue-Shop-Towels-1-Roll-of-55-sheets-Kimberly-Clark/16352289,24
4.906199932098389,https://i2.walmartimages.com/i/CustRating/4_9.gif,4300007359,https://i5.walmartimages.com/asr/bdf407a8-76ac-4d51-933e-f0a6c5bccfa2_1.9325de104368c244d7d3a71cfbe8fc78.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,2,A.37,0.8378264,54511936,,59KQ34Y0HA5F,Limited Stock,32,2633,,2017-10-18 17:58:08.096300,True,Food,https://i5.walmartimages.com/asr/bdf407a8-76ac-4d51-933e-f0a6c5bccfa2_1.9325de104368c244d7d3a71cfbe8fc78.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,37,-1,True,,/ip/McCafe-Premium-Medium-Roast-Coffee-K-Cup-Pods-54-count-18-6-oz-529g/54511936,3
4.673299789428711,https://i2.walmartimages.com/i/CustRating/4_7.gif,3700043515,https://i5.walmartimages.com/asr/45d3fa94-96ea-410b-b7e1-aefe74d7c484_1.7677a88717487ad36c9fb8864d55921a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,14,A.23,0.8351864,15137326,ea,3GQ5J6EJT6TS,In Stock,2167,197,98.5,2017-10-18 17:58:08.096539,True,Household Essentials,https://i5.walmartimages.com/asr/45d3fa94-96ea-410b-b7e1-aefe74d7c484_1.7677a88717487ad36c9fb8864d55921a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,23,-1,True,cents,/ip/Mr-Clean-Magic-Eraser-Household-Cleaning-Pads-2-ct-Box/15137326,16
4.858799934387207,https://i2.walmartimages.com/i/CustRating/4_9.gif,1780015210,https://i5.walmartimages.com/asr/39c1303b-4455-44fb-8a42-1d51699afb58_1.11baff8a7e4b5718a88ffc015e33059e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,G,USD,6,G.28,0.826554,42294353,,76TNO16SNZWL,In Stock,1622,1196,,2017-10-18 17:58:08.096690,True,Pets,https://i5.walmartimages.com/asr/39c1303b-4455-44fb-8a42-1d51699afb58_1.11baff8a7e4b5718a88ffc015e33059e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,28,-1,True,,/ip/Purina-Dog-Chow-Complete-Adult-Dog-Food-20-lb-Bonus-Bag/42294353,13
4.639999866485596,https://i2.walmartimages.com/i/CustRating/4_6.gif,4400003422,https://i5.walmartimages.com/asr/a3ebdb7d-d7bf-4ee9-9317-ab50f7dddb86_1.692a192666f5f5e2cd1b7369cf641ec0.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,7,A.30,0.7414905,26811023,oz,10RZSC1EKTFD,In Stock,75,298,33.8,2017-10-18 17:58:08.096843,True,Food,https://i5.walmartimages.com/asr/a3ebdb7d-d7bf-4ee9-9317-ab50f7dddb86_1.692a192666f5f5e2cd1b7369cf641ec0.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,30,-1,True,cents,/ip/belVita-Breakfast-Biscuits-Soft-Baked-Oats-Chocolate-1-76-oz-5-Count/26811023,12
1.0,https://i2.walmartimages.com/i/CustRating/1.gif,61637650711,https://i5.walmartimages.com/asr/93879cb1-4fd4-4817-a09e-5072c0161d6b_1.2c79c9ed8a389b03044970b42d13060c.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,L,USD,30,L.32,0.8193222,44893917,lb,20134A4W06NO,Limited Stock,1,4982,13.65,2017-10-18 17:58:08.097128,True,Electronics,https://i5.walmartimages.com/asr/93879cb1-4fd4-4817-a09e-5072c0161d6b_1.2c79c9ed8a389b03044970b42d13060c.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,32,-1,True,dollars,/ip/Wildgame-Innovations-6V-Digital-Power-Control-Unit/44893917,2
4.373300075531006,https://i2.walmartimages.com/i/CustRating/4_4.gif,3700093953,https://i5.walmartimages.com/asr/cbd7a1bd-96dc-4be3-9ab9-c23883630249_1.c7c7f0c9339cb6797caded3f635feb3e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,G,USD,8,G.12,0.8007129,46704363,,63WVLORWHM4P,Limited Stock,884,4398,,2017-10-18 17:58:08.097315,True,Health,https://i5.walmartimages.com/asr/cbd7a1bd-96dc-4be3-9ab9-c23883630249_1.c7c7f0c9339cb6797caded3f635feb3e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,12,-1,True,,/ip/Align-Probiotic-Supplement-Capsules-56-Ct/46704363,3
4.6666998863220215,https://i2.walmartimages.com/i/CustRating/4_7.gif,3010050561,https://i5.walmartimages.com/asr/98e3d4f6-e055-405b-be81-53b5e3ddd0b8_1.2569706fa9362257c759156a43c0a8fc.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,4,A.30,0.7982982,15055962,oz,7EA2VBZJPKTL,In Stock,39,256,30.1,2017-10-18 17:58:08.097481,True,Food,https://i5.walmartimages.com/asr/98e3d4f6-e055-405b-be81-53b5e3ddd0b8_1.2569706fa9362257c759156a43c0a8fc.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,30,-1,True,cents,/ip/Keebler-Coconut-Dreams-Fudge-Caramel-Coconut-Cookies-8-5-oz-Box/15055962,37
4.377799987792969,https://i2.walmartimages.com/i/CustRating/4_4.gif,2840026499,https://i5.walmartimages.com/asr/b0c30585-7f9f-4f00-a1c1-56003c6c7643_1.f05d1fab3768cd2cdb08786ff05f6551.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,A,USD,12,A.27,0.7971996,45563760,oz,4VN00EJCEOO5,In Stock,45,698,34.9,2017-10-18 17:58:08.097641,True,Food,https://i5.walmartimages.com/asr/b0c30585-7f9f-4f00-a1c1-56003c6c7643_1.f05d1fab3768cd2cdb08786ff05f6551.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,27,-1,True,cents,/ip/Frito-Lay-Baked-and-Popped-Mix-20-Count-16-88-oz-Bag/45563760,16
