"(36.179905, -94.50208)"
"(35.156491, -92.75858)"
"(35.075467, -92.43401)"
"(34.855962, -92.21997)"
""
"(35.923658, -94.97185)"
"(36.236984, -93.09345)"
"(36.891163, -89.58355)"
"(36.342235, -94.07141)"
"(36.719145, -91.87408)"
"(35.586065, -91.24695)"
"(36.759357, -90.41689)"
"(36.86429, -94.39016)"
"(36.327143, -95.61192)"
"(35.456536, -94.34581)"
"(38.364214, -93.76042)"
"(36.294174, -95.30295)"
"(32.52476, -92.64696)"
"(37.827415, -92.135741)"
"(39.298776, -94.93555)"
"(39.179316, -91.88404)"
"(37.630896, -91.51423)"
"(36.880746, -94.87142)"
"(37.678528, -92.64733)"
"(33.985613, -93.85214)"
"(35.052793, -94.61829)"
"(36.64417, -93.25668)"
"(39.184986, -96.56932)"
"(34.879419, -92.12244)"
"(37.838563, -94.35075)"
"(36.065711, -90.5102)"
"(37.779206, -90.41404)"
"(38.568287, -92.25329)"
"(37.823295, -94.73389)"
"(39.01585, -96.83653)"
"(37.041838, -95.61814)"
"(33.883578, -94.83154)"
"(36.733398, -95.92404)"
"(38.311355, -92.58395)"
"(39.420353, -92.4344)"
"(35.844795, -90.68443)"
"(37.616822, -93.40072)"
"(34.010943, -95.51651)"
"(35.467031, -94.78647)"
"(38.852436, -91.95808)"
"(36.91816, -93.91488)"
"(36.631673, -95.17303)"
"(36.921199, -92.66205)"
"(36.068015, -90.94429)"
"(34.47056, -93.08805)"
"(35.308848, -93.10909)"
"(36.182407, -94.1082)"
"(35.105966, -93.97531)"
"(35.590558, -89.2609)"
"(38.772117, -93.73519)"
"(38.991916, -90.98649)"
"(35.490105, -93.4851)"
"(35.961019, -95.3611)"
"(38.187767, -90.4077)"
"(35.229779, -90.83237)"
"(35.925991, -89.91767)"
"(35.150009, -90.17636)"
"(38.200244, -91.14089)"
"(36.304912, -91.0141)"
"(35.996582, -96.1194)"
"(36.350821, -93.56324)"
"(35.696385, -90.02631)"
"(42.230692, -79.17185)"
"(37.09416, -94.50169)"
"(31.352105, -92.4006)"
"(30.574821, -97.40948)"
"(38.925204, -92.36887)"
"(35.815628, -94.65023)"
"(39.871433, -76.44796)"
"(33.249608, -93.20427)"
"(37.716811, -89.87601)"
"(32.631009, -93.28751)"
"(37.257053, -93.29015)"
"(38.032648, -92.78269)"
"(36.599689, -94.76673)"
"(35.010683, -90.78048)"
"(37.176376, -92.27609)"
"(35.560622, -89.64201)"
"(35.347965, -89.90668)"
"(37.844197, -90.53)"
"(36.329026, -92.35781)"
"(38.434806, -91.00353)"
"(35.637993, -89.86859)"
"(32.814969, -91.90678)"
"(37.94384, -91.77105)"
"(36.362525, -94.23308)"
"(35.375188, -96.93162)"
"(34.479852, -91.53854)"
"(38.641509, -94.34126)"
"(36.532059, -88.89132)"
"(40.061044, -79.97336)"
"(34.928325, -88.52856)"
"(35.857303, -97.43176)"
"(36.353928, -88.84191)"
"(39.743859, -94.23378)"
"(41.773848, -79.11801)"
"(35.040526, -97.94723)"
"(37.666078, -95.45681)"
"(34.653448, -88.53751)"
"(33.450215, -88.82383)"
"(37.168985, -94.31164)"
"(32.849008, -93.97599)"
"(35.78108, -91.63835)"
"(37.047161, -94.51124)"
"(33.619058, -88.64686)"
"(34.142978, -94.80269)"
"(34.674192, -92.35557)"
"(35.628612, -95.9734)"
"(35.373791, -94.41371)"
"(37.413716, -89.65428)"
"(34.364093, -92.8146)"
